Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predict
NCT53,5.4,Low Fat,0.048107159,Health and Hygiene,166.3526,OUT035,2004,Small,Tier 2,Supermarket Type1,659.4811047
FDW45,18,Low Fat,0.039169904,Snack Foods,149.0418,OUT018,2009,Medium,Tier 3,Supermarket Type2,2690.895896
NCI18,18.35,Low Fat,0.014021376,Household,222.5746,OUT035,2004,Small,Tier 2,Supermarket Type1,3109.199738
FDE38,6.52,Low Fat,0.044788872,Canned,164.0842,OUT018,2009,Medium,Tier 3,Supermarket Type2,3230.716839
FDF08,,Regular,0.114170018,Fruits and Vegetables,89.1856,OUT019,1985,Small,Tier 1,Grocery Store,940.0752232
FDY58,11.65,Low Fat,0.066815522,Snack Foods,229.6694,OUT010,1998,,Tier 3,Grocery Store,1253.996375
FDF58,,Low Fat,0.016775365,Snack Foods,63.451,OUT019,1985,Small,Tier 1,Grocery Store,1758.651701
FDX39,14.3,Regular,0.049957145,Meat,210.0586,OUT017,2007,,Tier 2,Supermarket Type1,664.0573243
FDB44,6.655,Low Fat,0.016985198,Fruits and Vegetables,211.0586,OUT049,1999,Medium,Tier 1,Supermarket Type1,3666.370354
FDF28,15.7,Regular,0.037833211,Frozen Foods,126.1046,OUT013,1987,High,Tier 3,Supermarket Type1,2428.047025
FDE39,7.89,Low Fat,0.036104434,Dairy,117.1782,OUT013,1987,High,Tier 3,Supermarket Type1,1854.062429
FDT37,14.15,Low Fat,0.035413843,Canned,253.0014,OUT018,2009,Medium,Tier 3,Supermarket Type2,2839.461242
FDZ45,14.1,Low Fat,0.06725426,Snack Foods,199.0084,OUT017,2007,,Tier 2,Supermarket Type1,3824.134867
FDO40,17.1,Low Fat,0.032621941,Frozen Foods,150.9392,OUT035,2004,Small,Tier 2,Supermarket Type1,1226.77135
FDM57,,Regular,0.075481864,Snack Foods,85.3908,OUT027,1985,Medium,Tier 3,Supermarket Type3,811.5676327
DRG36,14.15,Low Fat,0.095917719,Soft Drinks,171.8106,OUT017,2007,,Tier 2,Supermarket Type1,1861.085944
FDY36,12.3,Low Fat,0.015751294,Baking Goods,71.638,OUT010,1998,,Tier 3,Grocery Store,720.0504875
DRL60,,LF,0.026928324,Soft Drinks,151.6682,OUT027,1985,Medium,Tier 3,Supermarket Type3,4741.036891
FDS25,,Regular,0.245136905,Canned,110.8228,OUT019,1985,Small,Tier 1,Grocery Store,1345.365499
DRF49,,Low Fat,0.070733741,Soft Drinks,112.0518,OUT027,1985,Medium,Tier 3,Supermarket Type3,1879.304504
FDP16,18.6,Low Fat,0.039374545,Frozen Foods,245.5802,OUT045,2002,,Tier 2,Supermarket Type1,4595.467355
FDS60,20.85,Low Fat,0.032498972,Baking Goods,181.266,OUT049,1999,Medium,Tier 1,Supermarket Type1,477.4415223
FDU15,,Regular,0.026473267,Meat,37.9532,OUT027,1985,Medium,Tier 3,Supermarket Type3,1673.914105
FDK43,9.8,LF,0.026840766,Meat,126.902,OUT046,1997,Small,Tier 1,Supermarket Type1,2606.544356
FDN25,7.895,Regular,0.061175535,Breakfast,58.6588,OUT046,1997,Small,Tier 1,Supermarket Type1,1245.362424
FDE53,10.895,Low Fat,0.026921951,Frozen Foods,104.928,OUT049,1999,Medium,Tier 1,Supermarket Type1,1708.112319
FDB22,8.02,Low Fat,0.111347923,Snack Foods,155.6998,OUT013,1987,High,Tier 3,Supermarket Type1,701.953337
FDE39,7.89,Low Fat,0.036338895,Dairy,119.5782,OUT017,2007,,Tier 2,Supermarket Type1,2352.580019
FDX35,5.035,Regular,0.079895432,Breads,227.0036,OUT035,2004,Small,Tier 2,Supermarket Type1,242.0505141
NCG54,12.1,Low Fat,0.079930344,Household,169.7106,OUT049,1999,Medium,Tier 1,Supermarket Type1,1320.073426
FDH27,7.075,Low Fat,0.058335906,Dairy,145.8128,OUT035,2004,Small,Tier 2,Supermarket Type1,5031.061155
NCK42,7.475,Low Fat,0.01310911,Household,215.4192,OUT013,1987,High,Tier 3,Supermarket Type1,3966.854244
FDS25,6.885,Regular,0.14022623,Canned,108.8228,OUT049,1999,Medium,Tier 1,Supermarket Type1,3253.020818
FDI10,8.51,Regular,0.078723713,Snack Foods,172.4422,OUT018,2009,Medium,Tier 3,Supermarket Type2,2508.458738
FDU35,6.44,Low Fat,0.079200387,Breads,100.47,OUT035,2004,Small,Tier 2,Supermarket Type1,4120.581413
FDI04,13.65,Regular,0.073324855,Frozen Foods,199.0426,OUT017,2007,,Tier 2,Supermarket Type1,806.1489263
DRK23,8.395,Low Fat,0.071963037,Hard Drinks,251.804,OUT035,2004,Small,Tier 2,Supermarket Type1,257.6836466
FDB53,,Low Fat,0.244163174,Frozen Foods,148.1392,OUT019,1985,Small,Tier 1,Grocery Store,2687.73057
FDY02,8.945,Regular,0.087782193,Dairy,261.791,OUT049,1999,Medium,Tier 1,Supermarket Type1,2343.685234
FDM60,10.8,Regular,0.048134189,Baking Goods,40.3138,OUT035,2004,Small,Tier 2,Supermarket Type1,2302.968753
NCJ31,19.2,LF,0.305724969,Others,239.6196,OUT010,1998,,Tier 3,Grocery Store,812.4533346
DRP35,18.85,Low Fat,0.09138128,Hard Drinks,126.6336,OUT017,2007,,Tier 2,Supermarket Type1,2403.882377
NCQ30,7.725,Low Fat,0.029190711,Household,122.4414,OUT018,2009,Medium,Tier 3,Supermarket Type2,2862.896737
DRL11,10.5,Low Fat,0.080372556,Hard Drinks,158.4946,OUT010,1998,,Tier 3,Grocery Store,3676.647683
FDU01,20.25,Regular,0.011985289,Canned,184.7924,OUT013,1987,High,Tier 3,Supermarket Type1,3012.9612
FDR39,20.35,Low Fat,0.083783437,Meat,180.7292,OUT035,2004,Small,Tier 2,Supermarket Type1,2840.042452
FDO08,11.1,Regular,0.053775381,Fruits and Vegetables,165.7526,OUT046,1997,Small,Tier 1,Supermarket Type1,257.7348579
FDC02,21.35,Low Fat,0.068962051,Canned,261.1278,OUT045,2002,,Tier 2,Supermarket Type1,3144.902546
NCZ29,15,Low Fat,0.071357962,Health and Hygiene,127.4362,OUT035,2004,Small,Tier 2,Supermarket Type1,2878.759207
FDF29,15.1,Regular,0.033365743,Frozen Foods,130.931,OUT010,1998,,Tier 3,Grocery Store,3655.998988
FDZ23,17.75,Regular,0.067884624,Baking Goods,187.324,OUT017,2007,,Tier 2,Supermarket Type1,1442.0736
NCU53,5.485,Low Fat,0.042925965,Health and Hygiene,164.5842,OUT018,2009,Medium,Tier 3,Supermarket Type2,2449.438921
NCW30,5.21,Low Fat,0.011000735,Household,258.0962,OUT013,1987,High,Tier 3,Supermarket Type1,4266.491844
NCM26,,Low Fat,0.023031127,Others,154.534,OUT027,1985,Medium,Tier 3,Supermarket Type3,236.9705215
FDV50,,Low Fat,0.121977653,Dairy,122.573,OUT027,1985,Medium,Tier 3,Supermarket Type3,1913.508836
FDW15,15.35,Regular,0.055199283,Meat,146.4734,OUT049,1999,Medium,Tier 1,Supermarket Type1,140.3621341
FDI35,,Low Fat,0.041091215,Starchy Foods,182.6634,OUT027,1985,Medium,Tier 3,Supermarket Type3,2085.840261
FDO11,8,Regular,0.030436087,Breads,249.0092,OUT017,2007,,Tier 2,Supermarket Type1,1317.199964
FDN48,13.35,Low Fat,0.06495073,Baking Goods,92.5804,OUT046,1997,Small,Tier 1,Supermarket Type1,208.2570715
NCA17,20.6,Low Fat,0.045488814,Health and Hygiene,149.9392,OUT049,1999,Medium,Tier 1,Supermarket Type1,1494.301199
NCN54,20.35,Low Fat,0.021308724,Household,79.2328,OUT013,1987,High,Tier 3,Supermarket Type1,2732.405148
FDP22,14.65,Regular,0.099049679,Snack Foods,49.7666,OUT013,1987,High,Tier 3,Supermarket Type1,677.1589971
NCB54,8.76,Low Fat,0.050043246,Health and Hygiene,126.2336,OUT035,2004,Small,Tier 2,Supermarket Type1,1483.265384
FDD08,8.3,Low Fat,0.035426061,Fruits and Vegetables,37.7506,OUT045,2002,,Tier 2,Supermarket Type1,3011.62512
DRM48,15.2,Low Fat,0.188965879,Soft Drinks,35.9848,OUT010,1998,,Tier 3,Grocery Store,2341.309948
FDG41,,Regular,0.076191354,Frozen Foods,110.3228,OUT027,1985,Medium,Tier 3,Supermarket Type3,3468.030711
FDE44,,LF,0.170558096,Fruits and Vegetables,48.7692,OUT027,1985,Medium,Tier 3,Supermarket Type3,911.8748669
FDE26,9.3,Low Fat,0.088988939,Canned,144.0786,OUT035,2004,Small,Tier 2,Supermarket Type1,1848.160772
NCS38,8.6,Low Fat,0,Household,113.1176,OUT013,1987,High,Tier 3,Supermarket Type1,2877.570249
NCJ54,9.895,Low Fat,0,Household,230.4642,OUT018,2009,Medium,Tier 3,Supermarket Type2,2097.309767
FDI40,,Regular,0.219914554,Frozen Foods,98.8358,OUT019,1985,Small,Tier 1,Grocery Store,4254.686464
FDN45,19.35,Low Fat,0.11858387,Snack Foods,224.4088,OUT018,2009,Medium,Tier 3,Supermarket Type2,4221.415881
FDU43,19.35,Regular,0.058043379,Fruits and Vegetables,239.8564,OUT046,1997,Small,Tier 1,Supermarket Type1,2466.319681
FDI04,13.65,Regular,0.122040464,Frozen Foods,197.5426,OUT010,1998,,Tier 3,Grocery Store,2734.206256
NCC07,19.6,Low Fat,0.024048716,Household,104.9964,OUT018,2009,Medium,Tier 3,Supermarket Type2,4302.404157
NCC07,,Low Fat,0.04193537,Household,104.5964,OUT019,1985,Small,Tier 1,Grocery Store,2746.795925
NCD18,16,Low Fat,0.072816495,Household,231.3668,OUT045,2002,,Tier 2,Supermarket Type1,3293.154228
FDU55,16.2,Low Fat,0.035904485,Fruits and Vegetables,258.6278,OUT035,2004,Small,Tier 2,Supermarket Type1,1449.858071
FDX59,10.195,Low Fat,0.051651503,Breads,35.2558,OUT035,2004,Small,Tier 2,Supermarket Type1,269.2836749
FDR52,12.65,Regular,0.076162818,Frozen Foods,190.7846,OUT049,1999,Medium,Tier 1,Supermarket Type1,2691.27855
NCP17,19.35,Low Fat,0.027691308,Health and Hygiene,63.3168,OUT013,1987,High,Tier 3,Supermarket Type1,3863.874872
FDQ32,17.85,reg,0.04670302,Fruits and Vegetables,122.2388,OUT045,2002,,Tier 2,Supermarket Type1,2072.497862
NCT17,10.8,Low Fat,0.041930938,Health and Hygiene,188.0214,OUT049,1999,Medium,Tier 1,Supermarket Type1,1850.886662
FDO10,13.65,Regular,0,Snack Foods,57.7588,OUT049,1999,Medium,Tier 1,Supermarket Type1,2901.286002
FDE32,20.7,Low Fat,0.048834717,Fruits and Vegetables,36.5506,OUT049,1999,Medium,Tier 1,Supermarket Type1,144.6290862
FDN44,13.15,Low Fat,0.022841841,Fruits and Vegetables,158.192,OUT045,2002,,Tier 2,Supermarket Type1,851.1251934
FDH02,7.27,reg,0.020777214,Canned,88.8488,OUT035,2004,Small,Tier 2,Supermarket Type1,1030.930488
FDK60,16.5,Regular,0.093786169,Baking Goods,98.9068,OUT013,1987,High,Tier 3,Supermarket Type1,3989.617024
FDS24,,Regular,0.108947031,Baking Goods,86.5514,OUT019,1985,Small,Tier 1,Grocery Store,2577.49642
FDL03,19.25,Regular,0.045327376,Meat,198.211,OUT010,1998,,Tier 3,Grocery Store,3569.030244
FDB46,,Regular,0.093309811,Snack Foods,212.6244,OUT027,1985,Medium,Tier 3,Supermarket Type3,2540.714384
FDO48,15,Regular,0.026882496,Baking Goods,222.6456,OUT049,1999,Medium,Tier 1,Supermarket Type1,2364.41597
FDZ39,19.7,Regular,0.018052793,Meat,103.399,OUT049,1999,Medium,Tier 1,Supermarket Type1,776.6966903
FDT02,,LF,0,Dairy,35.1874,OUT027,1985,Medium,Tier 3,Supermarket Type3,193.2441375
FDC50,15.85,Low Fat,0.136384322,Canned,94.8094,OUT013,1987,High,Tier 3,Supermarket Type1,1827.563672
FDP39,12.65,Low Fat,0.069411836,Meat,51.5324,OUT035,2004,Small,Tier 2,Supermarket Type1,1538.607637
DRG15,6.13,Low Fat,0.077048493,Dairy,60.0536,OUT018,2009,Medium,Tier 3,Supermarket Type2,217.4213837
FDP10,19,Low Fat,0.128611924,Snack Foods,104.1622,OUT018,2009,Medium,Tier 3,Supermarket Type2,3131.984957
FDF53,,Regular,0.083201696,Frozen Foods,181.8318,OUT027,1985,Medium,Tier 3,Supermarket Type3,1713.925353
FDN34,15.6,Regular,0.045857055,Snack Foods,170.4132,OUT045,2002,,Tier 2,Supermarket Type1,3202.975672
FDK02,12.5,Low Fat,0.11245226,Canned,120.744,OUT045,2002,,Tier 2,Supermarket Type1,1661.738281
FDC23,18,Low Fat,0.017942517,Starchy Foods,176.3686,OUT045,2002,,Tier 2,Supermarket Type1,1844.639598
FDJ10,,Regular,0.226744199,Snack Foods,140.2838,OUT019,1985,Small,Tier 1,Grocery Store,3014.886614
FDE53,10.895,Low Fat,0.026875077,Frozen Foods,107.028,OUT035,2004,Small,Tier 2,Supermarket Type1,214.0289109
FDR25,17,Regular,0.139495548,Canned,266.5884,OUT035,2004,Small,Tier 2,Supermarket Type1,2843.404907
FDW50,13.1,Low Fat,0.075578048,Dairy,165.7158,OUT046,1997,Small,Tier 1,Supermarket Type1,3326.196913
FDS09,8.895,Regular,0.081214552,Snack Foods,51.4008,OUT049,1999,Medium,Tier 1,Supermarket Type1,2585.251597
FDW49,19.5,Low Fat,0.138175481,Canned,178.1002,OUT010,1998,,Tier 3,Grocery Store,2839.88298
FDU51,20.2,Regular,0.096513676,Meat,178.7028,OUT046,1997,Small,Tier 1,Supermarket Type1,1991.863047
FDF28,15.7,Regular,0.038018966,Frozen Foods,126.1046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1142.280533
NCY30,20.25,Low Fat,0.02605898,Household,179.6976,OUT018,2009,Medium,Tier 3,Supermarket Type2,2287.97458
FDD44,8.05,Regular,0.078559463,Fruits and Vegetables,259.3646,OUT045,2002,,Tier 2,Supermarket Type1,1778.86831
FDX09,9,Low Fat,0.065618346,Snack Foods,177.337,OUT017,2007,,Tier 2,Supermarket Type1,2407.771481
NCF30,17,Low Fat,0.126139002,Household,125.9362,OUT013,1987,High,Tier 3,Supermarket Type1,1908.535329
FDZ50,,Regular,0.138452448,Dairy,185.4608,OUT019,1985,Small,Tier 1,Grocery Store,571.0703931
FDW37,19.2,Low Fat,0,Canned,89.2488,OUT013,1987,High,Tier 3,Supermarket Type1,1440.977935
FDD11,12.85,Low Fat,0.030664334,Starchy Foods,254.404,OUT049,1999,Medium,Tier 1,Supermarket Type1,2143.651946
DRH39,20.7,Low Fat,0.093067785,Dairy,75.567,OUT018,2009,Medium,Tier 3,Supermarket Type2,1318.692888
FDA36,5.985,Low Fat,0.005675194,Baking Goods,184.1924,OUT049,1999,Medium,Tier 1,Supermarket Type1,1749.771793
NCG43,20.2,Low Fat,0.07435487,Household,92.4462,OUT049,1999,Medium,Tier 1,Supermarket Type1,3277.111037
FDF02,16.2,low fat,0.103453599,Canned,103.699,OUT035,2004,Small,Tier 2,Supermarket Type1,650.4149686
FDP57,,low fat,0.052190155,Snack Foods,101.899,OUT027,1985,Medium,Tier 3,Supermarket Type3,1364.414605
NCE42,21.1,Low Fat,0.010662263,Household,231.9958,OUT017,2007,,Tier 2,Supermarket Type1,3925.928977
NCR38,,LF,0.112968748,Household,252.8724,OUT027,1985,Medium,Tier 3,Supermarket Type3,2779.866953
FDP03,,Regular,0.10711317,Meat,125.1388,OUT019,1985,Small,Tier 1,Grocery Store,207.7713846
FDO51,6.785,Regular,0.041974545,Meat,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1451.866408
NCQ42,20.35,Low Fat,0.039268205,Household,128.4678,OUT046,1997,Small,Tier 1,Supermarket Type1,882.996914
NCM41,16.5,Low Fat,0.035655991,Health and Hygiene,91.212,OUT046,1997,Small,Tier 1,Supermarket Type1,2759.939403
FDH48,,Low Fat,0.06018748,Baking Goods,85.054,OUT027,1985,Medium,Tier 3,Supermarket Type3,592.0344379
DRF60,10.8,Low Fat,0.052068722,Soft Drinks,236.4564,OUT046,1997,Small,Tier 1,Supermarket Type1,2452.793027
FDJ27,17.7,Regular,0.121852987,Meat,101.4674,OUT035,2004,Small,Tier 2,Supermarket Type1,3514.392146
FDQ14,9.27,Low Fat,0.061735873,Dairy,150.805,OUT013,1987,High,Tier 3,Supermarket Type1,1590.075762
FDN27,20.85,Low Fat,0,Meat,118.5808,OUT017,2007,,Tier 2,Supermarket Type1,379.3525308
NCQ02,12.6,Low Fat,0.007456464,Household,188.6556,OUT046,1997,Small,Tier 1,Supermarket Type1,3006.055467
FDJ33,8.895,Regular,0.088459496,Snack Foods,124.873,OUT049,1999,Medium,Tier 1,Supermarket Type1,770.3684335
FDP07,,Low Fat,0.089466421,Fruits and Vegetables,196.011,OUT027,1985,Medium,Tier 3,Supermarket Type3,1683.691515
DRE01,10.1,LF,0.16741508,Soft Drinks,241.2512,OUT049,1999,Medium,Tier 1,Supermarket Type1,3114.50399
FDU36,6.15,Low Fat,0.046364789,Baking Goods,99.9384,OUT045,2002,,Tier 2,Supermarket Type1,2574.134272
FDL28,10,Regular,0.063531895,Frozen Foods,228.6668,OUT017,2007,,Tier 2,Supermarket Type1,1400.723643
NCX53,20.1,Low Fat,0.014937838,Health and Hygiene,141.2154,OUT046,1997,Small,Tier 1,Supermarket Type1,2796.375529
FDZ39,19.7,Regular,0.018009769,Meat,103.699,OUT013,1987,High,Tier 3,Supermarket Type1,2994.313425
NCP42,8.51,Low Fat,0.016097309,Household,195.3478,OUT013,1987,High,Tier 3,Supermarket Type1,1874.633309
FDJ14,10.3,Regular,0.050061008,Canned,81.296,OUT035,2004,Small,Tier 2,Supermarket Type1,1414.384867
FDK04,7.36,Low Fat,0.052393366,Frozen Foods,55.3588,OUT049,1999,Medium,Tier 1,Supermarket Type1,3263.63238
NCC19,6.57,LF,0.09742857,Household,194.582,OUT017,2007,,Tier 2,Supermarket Type1,808.2266215
FDS09,8.895,Regular,0.081418801,Snack Foods,51.7008,OUT018,2009,Medium,Tier 3,Supermarket Type2,2760.746103
FDZ02,6.905,Regular,0.038147426,Dairy,99.6726,OUT046,1997,Small,Tier 1,Supermarket Type1,1987.389798
FDD35,12.15,LF,0.02596979,Starchy Foods,121.344,OUT018,2009,Medium,Tier 3,Supermarket Type2,670.8301389
NCY42,6.38,Low Fat,0.015248338,Household,144.147,OUT017,2007,,Tier 2,Supermarket Type1,1625.659881
FDB05,5.155,Low Fat,0.08336707,Frozen Foods,246.9776,OUT045,2002,,Tier 2,Supermarket Type1,3493.777571
FDF20,12.85,Low Fat,0.033213888,Fruits and Vegetables,195.2768,OUT035,2004,Small,Tier 2,Supermarket Type1,293.2804362
NCO41,12.5,Low Fat,0.018925644,Health and Hygiene,97.3384,OUT018,2009,Medium,Tier 3,Supermarket Type2,2506.402149
FDC40,,Regular,0.064748814,Dairy,79.4986,OUT027,1985,Medium,Tier 3,Supermarket Type3,1399.773575
FDV58,20.85,LF,0.121496273,Snack Foods,197.4452,OUT045,2002,,Tier 2,Supermarket Type1,3565.209472
FDZ57,10,Regular,0.037840894,Snack Foods,129.5994,OUT045,2002,,Tier 2,Supermarket Type1,2388.394863
DRM35,9.695,Low Fat,0.070444556,Hard Drinks,179.4344,OUT046,1997,Small,Tier 1,Supermarket Type1,2134.165271
DRN36,15.2,Low Fat,0.050382246,Soft Drinks,94.2752,OUT018,2009,Medium,Tier 3,Supermarket Type2,4028.15244
FDQ13,11.1,Low Fat,0.010641608,Canned,84.0908,OUT046,1997,Small,Tier 1,Supermarket Type1,2652.473473
DRO35,13.85,Low Fat,0.05786369,Hard Drinks,115.4492,OUT010,1998,,Tier 3,Grocery Store,1532.587326
NCD43,8.85,Low Fat,0,Household,104.3964,OUT035,2004,Small,Tier 2,Supermarket Type1,3073.77145
FDA51,8.05,Regular,0.165350432,Dairy,114.2518,OUT018,2009,Medium,Tier 3,Supermarket Type2,1913.366712
NCX17,,Low Fat,0.113053302,Health and Hygiene,232.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,1605.710863
NCZ17,12.15,Low Fat,0.079555138,Health and Hygiene,39.4506,OUT049,1999,Medium,Tier 1,Supermarket Type1,2541.361999
FDR11,,Regular,0.141847977,Breads,159.6578,OUT027,1985,Medium,Tier 3,Supermarket Type3,3300.248605
FDW34,9.6,Low Fat,0.035634451,Snack Foods,242.917,OUT049,1999,Medium,Tier 1,Supermarket Type1,2371.391365
FDN50,16.85,Regular,0.026669833,Canned,92.712,OUT017,2007,,Tier 2,Supermarket Type1,1763.207356
FDS09,8.895,Regular,0.081088481,Snack Foods,50.2008,OUT046,1997,Small,Tier 1,Supermarket Type1,2340.463668
FDS48,15.15,Low Fat,0.027892415,Baking Goods,150.9708,OUT018,2009,Medium,Tier 3,Supermarket Type2,2802.589597
FDL44,18.25,Low Fat,0.012294203,Fruits and Vegetables,162.8894,OUT049,1999,Medium,Tier 1,Supermarket Type1,1468.15695
DRF48,5.73,Low Fat,0.052012483,Soft Drinks,187.5898,OUT018,2009,Medium,Tier 3,Supermarket Type2,2942.346338
FDA14,16.1,Low Fat,0,Dairy,147.876,OUT018,2009,Medium,Tier 3,Supermarket Type2,793.6415558
NCD30,19.7,LF,0.026891006,Household,96.5726,OUT049,1999,Medium,Tier 1,Supermarket Type1,3882.425389
FDI16,14,Regular,0.136543704,Frozen Foods,51.564,OUT017,2007,,Tier 2,Supermarket Type1,811.9544595
NCG06,16.35,Low Fat,0.029439793,Household,258.5646,OUT035,2004,Small,Tier 2,Supermarket Type1,1593.32166
DRZ24,7.535,Low Fat,0.081772054,Soft Drinks,120.444,OUT035,2004,Small,Tier 2,Supermarket Type1,762.6408818
NCS17,18.6,Low Fat,0.080664702,Health and Hygiene,95.0436,OUT045,2002,,Tier 2,Supermarket Type1,973.8311982
FDB37,20.25,Regular,0.02298735,Baking Goods,241.1538,OUT045,2002,,Tier 2,Supermarket Type1,1313.583265
FDE10,6.67,Regular,0.089931111,Snack Foods,130.0626,OUT035,2004,Small,Tier 2,Supermarket Type1,712.7029746
FDC57,20.1,Regular,0.05470525,Fruits and Vegetables,191.682,OUT045,2002,,Tier 2,Supermarket Type1,841.5757702
FDM12,16.7,Regular,0.070201806,Baking Goods,187.9214,OUT018,2009,Medium,Tier 3,Supermarket Type2,3614.43619
FDE24,14.85,Low Fat,0.093607933,Baking Goods,140.4812,OUT049,1999,Medium,Tier 1,Supermarket Type1,1512.155808
FDW22,9.695,Regular,0.030351816,Snack Foods,219.7114,OUT045,2002,,Tier 2,Supermarket Type1,3132.934638
DRD01,,Regular,0.06087929,Soft Drinks,53.3614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2646.343463
NCZ18,,Low Fat,0.18516682,Household,253.8698,OUT027,1985,Medium,Tier 3,Supermarket Type3,2498.515745
FDN49,17.25,Regular,0.125478425,Breakfast,40.948,OUT045,2002,,Tier 2,Supermarket Type1,1633.252888
FDR22,19.35,reg,0.018559094,Snack Foods,113.1544,OUT035,2004,Small,Tier 2,Supermarket Type1,2834.454413
FDV08,,Low Fat,0,Fruits and Vegetables,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,2533.974097
FDY39,5.305,Regular,0.047028693,Meat,185.3608,OUT046,1997,Small,Tier 1,Supermarket Type1,2860.386884
FDV36,18.7,Low Fat,0.026342897,Baking Goods,125.702,OUT049,1999,Medium,Tier 1,Supermarket Type1,2875.035879
FDO60,20,Low Fat,0.03443923,Baking Goods,45.1086,OUT045,2002,,Tier 2,Supermarket Type1,3972.804175
FDU04,,Low Fat,0.005521567,Frozen Foods,122.3414,OUT027,1985,Medium,Tier 3,Supermarket Type3,1720.088016
FDR20,,Regular,0.027987562,Fruits and Vegetables,46.7744,OUT027,1985,Medium,Tier 3,Supermarket Type3,4296.731519
FDW19,,Regular,0.067409268,Fruits and Vegetables,110.457,OUT019,1985,Small,Tier 1,Grocery Store,1906.997064
FDU40,20.85,Low Fat,0.037462127,Frozen Foods,194.2478,OUT049,1999,Medium,Tier 1,Supermarket Type1,2088.479114
FDK15,10.8,Low Fat,0.098613411,Meat,97.6042,OUT045,2002,,Tier 2,Supermarket Type1,465.6357337
DRF15,18.35,Low Fat,0.03320771,Dairy,151.834,OUT035,2004,Small,Tier 2,Supermarket Type1,4345.740775
FDQ25,8.63,Regular,0.028436636,Canned,173.6422,OUT017,2007,,Tier 2,Supermarket Type1,2285.078129
FDI48,,Regular,0.097555725,Baking Goods,52.7666,OUT019,1985,Small,Tier 1,Grocery Store,335.1139156
FDS49,9,Low Fat,0.079345519,Canned,77.0644,OUT046,1997,Small,Tier 1,Supermarket Type1,1712.157235
FDV22,14.85,Regular,0.009938784,Snack Foods,157.863,OUT046,1997,Small,Tier 1,Supermarket Type1,3335.214042
NCV42,6.26,Low Fat,0.031421979,Household,109.3228,OUT046,1997,Small,Tier 1,Supermarket Type1,2421.40392
FDX26,17.7,Low Fat,0.087808521,Dairy,184.3292,OUT046,1997,Small,Tier 1,Supermarket Type1,1499.415548
FDI33,16.5,Low Fat,0.028534583,Snack Foods,89.8146,OUT018,2009,Medium,Tier 3,Supermarket Type2,2151.857963
FDZ14,7.71,Regular,0.047662684,Dairy,121.0756,OUT049,1999,Medium,Tier 1,Supermarket Type1,4760.070843
FDG10,6.63,Regular,0.010930195,Snack Foods,56.3588,OUT013,1987,High,Tier 3,Supermarket Type1,1022.013282
FDM38,5.885,Regular,0.09314922,Canned,50.7982,OUT018,2009,Medium,Tier 3,Supermarket Type2,1535.630893
FDG26,,Low Fat,0.042443319,Canned,256.033,OUT027,1985,Medium,Tier 3,Supermarket Type3,2758.544191
FDH46,6.935,Regular,0.04127448,Snack Foods,101.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,939.9961706
FDN13,18.6,Low Fat,0.152677702,Breakfast,99.9358,OUT018,2009,Medium,Tier 3,Supermarket Type2,461.6876114
FDU57,8.27,Regular,0.089537252,Snack Foods,149.7708,OUT035,2004,Small,Tier 2,Supermarket Type1,2759.069066
